ORIGEM	ÁREA	CURSO	 CH - CURSO	 PREÇO CURSO - MATRÍCULA	MÓDULO UNIDADE CURRICULAR	CH - MÓDULO	 PREÇO MÓDULO - MATRÍCULA	CAPACIDADE DESENVOLVIDA - MÓDULO
CT 60x40	Eletrônica	Gestão de Pessoas e do Processo	  15 		Gestão de Pessoas e do Processo	15	 R$  -   	● AvaIiar o cumprimento dos requisitos relacionados a Sustentabilidade conforme padrões estabelecidos pela política de meio ambiente da empresa ● Avaliar o atendimento dos requisitos técnicos de instalação conforme padrões estabelecidos pela política de gestão de qualidade da empresa ● Avaliar o cumprimento dos procedimentos de segurança e utilização dos equipamentos de proteção individuais e coletivos pelas equipes de trabalho na realização das atividades de instalação de sistemas eletroeletrônicos ● Identificar as necessidades de treinamentos e orientações técnicas para as equipes de trabalho nas atividades de instalações de sistemas eletroeletrônicos ● Estabelecer o tempo de execução de cada instalação eletroeletrônica para elaboração de cronograma do serviço eletroeletrônicos. ● Aplicar técnicas de gerenciamento de pessoas para realizar intervenções e correções durante a supervisão das instalações dos sistemas
CT 60x40	Eletrônica	Gestão da Manutenção de sistemas eletrônicos	  30 		Princípios da Manutenção, Planejamento e Qualidade Ambiental	15	 R$  -   	●AvaIiar o atendimento dos requisitos técnicos de manutenção Conforme padrões estabelecidos pela política de gestão de qualidade da empresa ● Avaliar o cumprimento dos requisitos relacionados a sustentabilidade conforme padrões estabelecidos pela política de meio ambiente da empresa
CT 60x40	Eletrônica	Gestão da Manutenção de sistemas eletrônicos	  30 		Controle da Manutenção e Liderança	15	 R$  -   	● Verificar os comprimentos de segurança e utilização dos equipamentos de proteção individuais e coletivos pelas equipes de trabalho na realização das atividades
CT 60x40	Eletrônica	Dispositivos Eletrônicos Analógicos e de Potência	  30 		Componentes Optoeletrônicos	10	 R$  -   	●Reconhecer os fundamentos da eletrônica de potência associados aos componentes e circuitos utilizados em sistemas eletrônicos
CT 60x40	Eletrônica	Dispositivos Eletrônicos Analógicos e de Potência	  30 		Dispositivos de Proteção e Circuitos de Radiofrequência	20	 R$  -   	●Reconhecer os fundamentos da eletrônica de potência associados aos componentes e circuitos utilizados em sistemas eletrônicos
CT 60x40	Eletrônica	Fundamentos da Eletrônica em corrente contínua	  20 		Unidades de Medida	10	 R$  -   	● Reconhecer os fundamentos de desenho técnico aplicados em projetos eletroeletrônicos
CT 60x40	Eletrônica	Fundamentos da Eletrônica em corrente contínua	  20 		Desenho Técnico	10	 R$  -   	● Reconhecer os fundamentos de desenho técnico aplicados em projetos eletroeletrônicos
CT 60x40	Eletrônica	Fundamentos da Eletrônica em corrente alternada	  20 		Motores e Máquinas Elétricas	10	 R$  -   	● Reconhecer os fundamentos da eletricidade quanto a cargas, circuitos e grandezas elétricas em corrente alternada
CT 60x40	Eletrônica	Fundamentos da Eletrônica em corrente alternada	  20 		Geradores e Transformadores	10	 R$  -   	● Reconhecer os fundamentos da eletricidade quanto a cargas, circuitos e grandezas elétricas em corrente alternada
CT 60x40	Eletrônica	Sistemas Eletrônicos Digitais	  30 		Tecnologias de Circuitos Digitais	10	 R$  -   	
CT 60x40	Eletrônica	Sistemas Eletrônicos Digitais	  30 		Memórias Semicondutoras	10	 R$  -   	
CT 60x40	Eletrônica	Sistemas Eletrônicos Digitais	  30 		Dispositivos Lógicos Programáveis	10	 R$  -   	
CT 60x40	Eletrônica	Montagem e Instalação de Sistemas Eletrônicos	  39 		Placas de Circuito Impresso	13	 R$  -   	● Identificar os tipos de procedimentos técnicos de acordo com a infraestrutura do sistema eletrônico a ser instalado; ● Analisar as características ambientais para identificação de possíveis interferências que impactam no sistema eletrônico; ● Identificar as especificações técnicas dos insumos, dispositivos, Máquinas, equipamentos e ferramentas nos manuais e catálogos do fabricante de acordo com o sistema eletrônico.
CT 60x40	Eletrônica	Montagem e Instalação de Sistemas Eletrônicos	  39 		Componentes Eletrônicos	13	 R$  -   	● Identificar os tipos de procedimentos técnicos de acordo com a infraestrutura do sistema eletrônico a ser instalado; ● Analisar as características ambientais para identificação de possíveis interferências que impactam no sistema eletrônico; ● Identificar as especificações técnicas dos insumos, dispositivos, Máquinas, equipamentos e ferramentas nos manuais e catálogos do fabricante de acordo com o sistema eletrônico.
CT 60x40	Eletrônica	Montagem e Instalação de Sistemas Eletrônicos	  39 		Procedimentos de Montagem	13	 R$  -   	● Identificar os tipos de procedimentos técnicos de acordo com a infraestrutura do sistema eletrônico a ser instalado; ● Analisar as características ambientais para identificação de possíveis interferências que impactam no sistema eletrônico; ● Identificar as especificações técnicas dos insumos, dispositivos, Máquinas, equipamentos e ferramentas nos manuais e catálogos do fabricante de acordo com o sistema eletrônico.
CT 60x40	Eletrônica	Manutenção de Sistemas Eletrônicos	  40 		Instrumentos de Medição	14	 R$  -   	• Selecionar os dados e informações referentes à manutenção do sistema eletrônico para registros técnicos
CT 60x40	Eletrônica	Manutenção de Sistemas Eletrônicos	  40 		Ferramentas de Diagnóstico de Defeitos	13	 R$  -   	• Identificar os procedimentos técnicos de manutenção em sistema eletrônico em função do componente a ser reparado ou substituído
CT 60x40	Eletrônica	Manutenção de Sistemas Eletrônicos	  40 		Princípios da Manutenção	13	 R$  -   	●Identificar os critérios técnicos e de segurança aplicados à manutenção do sistema eletrônico a ser realizada com base em normas
CT 60x40	Eletrônica	Programação de Dispositivos Eletrônicos	  40 		Microcontroladores: Introdução e Aspectos Gerais	14	 R$  -   	● Identificar os tipos de dispositivos e suas características que demandam programação no projeto do sistema eletrônico
CT 60x40	Eletrônica	Programação de Dispositivos Eletrônicos	  40 		Programação de Microcontroladores	13	 R$  -   	● Identificar os tipos de dispositivos e suas características que demandam programação no projeto do sistema eletrônico
CT 60x40	Eletrônica	Programação de Dispositivos Eletrônicos	  40 		Circuitos de Aplicação para Microcontroladores	13	 R$  -   	● Identificar as informações técnicas sobre os periféricos do circuito eletrônico e suas características no projeto de sistemas eletrônicos
CT 60x40	Eletrônica	Redes de Comunicação e Sistemas Supervisórios	  20 		Sistemas Supervisórios	10	 R$  -   	● Identificar os dispositivos configuráveis conforme a necessidade do sistema eletrônico
